x_easting_m,y_northing_m,z_elevation_m
566663.9393541744,4190603.204781503,124.48377281947262
566663.8504546023,4190603.1807796173,124.4787018255578
566663.7614347658,4190603.1715914006,124.473630831643
566663.6725180123,4190603.149705755,124.4685598377282
566663.5834122729,4190603.1510987342,124.4634888438134
566663.4945642407,4190603.120748136,124.45841784989858
566663.4055444032,4190603.1115599247,124.45334685598377
566663.3165761069,4190603.0960229984,124.44827586206897
566663.2275562692,4190603.086834789,124.44320486815415
566663.1385879723,4190603.071297865,124.43813387423936
566663.0496368555,4190603.0536447032,124.43306288032454
566662.9606170169,4190603.0444564973,124.42799188640974
566662.8716315388,4190603.031035813,124.42292089249493
566662.7826804188,4190603.0133826546,124.41784989858012
566662.693746481,4190602.993613258,124.41277890466532
566662.6047953625,4190602.975960099,124.4077079107505
566662.5156724413,4190602.97946933,124.4026369168357
566662.4267213224,4190602.9618161763,124.39756592292089
566662.3377358427,4190602.9483954976,124.39249492900609
566662.2487675428,4190602.932858585,124.38742393509128
566662.1596961619,4190602.930019103,124.38235294117646
566662.0707106814,4190602.916598429,124.37728194726166
566661.981776741,4190602.8968290403,124.37221095334685
566661.8926881795,4190602.8961058003,124.36713995943205
566661.8037714163,4190602.874220173,124.36206896551724
566661.7147172147,4190602.869264458,124.35699797160244
566661.625680193,4190602.8621925055,124.35192697768763
566661.5366947111,4190602.8487718375,124.34685598377283
566661.4476233291,4190602.845932363,124.34178498985801
566661.3587065665,4190602.824046742,124.3367139959432
566661.2697039038,4190602.812742316,124.3316430020284
566661.1806668813,4190602.805670367,124.32657200811359
566661.0916813981,4190602.7922497042,124.32150101419879
566661.0026271953,4190602.787293997,124.31643002028397
566660.91360735,4190602.7781058117,124.31135902636917
566660.8246046862,4190602.766801391,124.30628803245436
566660.7355333033,4190602.763961924,124.30121703853955
566660.6465306394,4190602.752657505,124.29614604462475
566660.5575795143,4190602.7350043706,124.29107505070994
566660.4685253107,4190602.7300486676,124.28600405679514
566660.3794539275,4190602.7272092067,124.28093306288032
566660.2903997238,4190602.7222535075,124.27586206896552
566660.2014142384,4190602.708832854,124.27079107505071
566660.1123943937,4190602.699644678,124.2657200811359
566660.0234089078,4190602.6862240266,124.2606490872211
566659.9343203445,4190602.685500808,124.25557809330628
566659.8453520377,4190602.669963919,124.25050709939148
566659.7561947562,4190602.677705657,124.24543610547667
566659.6672092696,4190602.66428501,124.24036511156187
566659.5781722422,4190602.65721308,124.23529411764706
566659.4891180374,4190602.652257389,124.23022312373226
566659.4001153708,4190602.640952982,124.22515212981745
566659.3110611658,4190602.6359972935,124.22008113590263
566659.2220756782,4190602.622576651,124.21501014198783
566659.1328840381,4190602.6345508727,124.20993914807302
566659.0439500882,4190602.614781515,124.20486815415822
566658.9548787035,4190602.6119420696,124.1997971602434
566658.865824498,4190602.6069863853,124.1947261663286
566658.7768046509,4190602.597798224,124.1896551724138
566658.6876817283,4190602.601307498,124.18458417849898
566658.5985588036,4190602.604816772,124.17951318458418
566658.5095389562,4190602.5956286127,124.17444219066937
566658.4204160337,4190602.5991378888,124.16937119675457
566658.3314649027,4190602.5814847783,124.16430020283975
566658.2423419802,4190602.584994055,124.15922920892496
566658.1532018788,4190602.5906195724,124.15415821501014
566658.064216389,4190602.577198943,124.14908722109533
566657.9751793618,4190602.5701270294,124.14401622718053
566657.8861251555,4190602.5651713554,124.13894523326572
566657.7970537702,4190602.5623319224,124.13387423935092
566657.7080510983,4190602.551027534,124.1288032454361
566657.618910997,4190602.556653057,124.1237322515213
566657.5297708957,4190602.562278581,124.11866125760649
566657.440751047,4190602.553090435,124.11359026369168
566657.3516281247,4190602.5565997227,124.10851926977688
566657.2624880237,4190602.5622252496,124.10344827586206
566657.1735368902,4190602.5445721503,124.09837728194726
566657.0844655044,4190602.5417327248,124.09330628803245
566656.9954284762,4190602.5346608222,124.08823529411765
566656.9062024816,4190602.5508675463,124.08316430020284
566656.8171654533,4190602.543795646,124.07809330628804
566656.7281112464,4190602.538839985,124.07302231237323
566656.638953967,4190602.5465817577,124.06795131845841
566656.5498482239,4190602.5479748156,124.06288032454361
566656.4607081236,4190602.553600352,124.0578093306288
566656.3717569861,4190602.535947261,124.052738336714
566656.2826168858,4190602.541572798,124.04766734279919
566656.1935626785,4190602.5366171435,124.04259634888439
566656.1044741141,4190602.5358939674,124.03752535496957
566656.0152652998,4190602.549984463,124.03245436105476
566655.9262110926,4190602.545028811,124.02738336713996
566655.8370194572,4190602.5570030687,124.02231237322515
566655.747999607,4190602.5478149415,124.01724137931035
566655.6588423289,4190602.555556725,124.01217038539554
566655.5697537648,4190602.5548335533,124.00709939148074
566655.48064802,4190602.5562266232,124.00202839756592
566655.3915938126,4190602.551270976,123.99695740365111
566655.302436535,4190602.5590127637,123.99188640973631
566655.2132964359,4190602.5646383115,123.9868154158215
566655.124156337,4190602.5702638626,123.9817444219067
566655.0350849513,4190602.567424458,123.97667342799188
566654.9459620309,4190602.570933772,123.97160243407708
566654.8568219322,4190602.5765593247,123.96653144016227
566654.7677161902,4190602.5779524017,123.96146044624746
566654.6786104481,4190602.5793454787,123.95638945233266
566654.5893672808,4190602.5976684666,123.95131845841784
566654.5003646058,4190602.5863641147,123.94624746450305
566654.4111729735,4190602.598338389,123.94117647058823
566654.3220500536,4190602.601847709,123.93610547667343
566654.232944312,4190602.6032407917,123.93103448275862
566654.1437355023,4190602.6173313065,123.92596348884382
566654.0546984731,4190602.6102594365,123.920892494929
566653.9654896636,4190602.624349955,123.9158215010142
566653.8763152105,4190602.6342079956,123.9107505070994
566653.7871751136,4190602.6398335607,123.90567951318458
566653.6980350168,4190602.6454591257,123.90060851926978
566653.6089636318,4190602.642619737,123.89553752535497
566653.5197720014,4190602.6545940214,123.89046653144017
566653.4306147272,4190602.6623358284,123.88539553752535
566653.3414918088,4190602.6658451594,123.88032454361054
566653.2523688904,4190602.6693544905,123.87525354969574
566653.1631429032,4190602.685561256,123.87018255578093
566653.074037163,4190602.6869543507,123.86511156186613
